predictions,mean,std,sharpe,max_drawdown
predictions_model_target_teager2b_20,0.017707482570786064,0.019627502454658347,0.902177065660405,0.034677088514796006
neutralized_predictions_model_target_teager2b_20,0.018195787569560428,0.01914478725816074,0.9504303873527878,0.03272933804128231
predictions_model_target_teager2b_60,0.016459991331429842,0.019952194083619205,0.8249714924807959,0.03515666859018762
neutralized_predictions_model_target_teager2b_60,0.01720954095411088,0.019275615918361255,0.8928140624402924,0.030037505408159415
predictions_model_target_tyler_20,0.018548397068767274,0.02214655302313639,0.8375297523452006,0.04179835718972247
neutralized_predictions_model_target_tyler_20,0.019208588263684885,0.01848598143955173,1.0390894487531563,0.03339441079859262
predictions_model_target_tyler_60,0.01979709992735716,0.02199317313526991,0.900147505118715,0.033605383830961455
neutralized_predictions_model_target_tyler_60,0.018913350760554906,0.01870969032892635,1.0108852914210817,0.03586198462678225
predictions_model_target_victor_20,0.021755426000847563,0.021647039790437497,1.0050069760789162,0.03196979652293441
neutralized_predictions_model_target_victor_20,0.022216450997190617,0.021124895021052317,1.0516715455887706,0.03384272541759237
predictions_model_target_victor_60,0.021065344679112183,0.022178807729660986,0.9497960817316746,0.02727176853757074
neutralized_predictions_model_target_victor_60,0.020889197960564192,0.0212853366360874,0.9813891280041308,0.024907528879646645
predictions_model_target_waldo_20,0.01873378084545561,0.02151796276500412,0.8706112678995531,0.04449111561487684
neutralized_predictions_model_target_waldo_20,0.018602437814716512,0.016592816424971187,1.1211139410137128,0.033072027548888605
predictions_model_target_waldo_60,0.01859585390353475,0.02132580826530445,0.8719882347338207,0.047593026512870895
neutralized_predictions_model_target_waldo_60,0.020101589360647102,0.01911938890746704,1.051371958483279,0.04492794048899196
predictions_model_target_xerxes_20,0.02116728473384399,0.022079425993643865,0.9586881805685321,0.04195018666578221
neutralized_predictions_model_target_xerxes_20,0.022633195006747063,0.020306558346758624,1.1145756272559018,0.031148530883973624
predictions_model_target_xerxes_60,0.020637732915053195,0.022153110315737603,0.9315952758287002,0.04857052533177364
neutralized_predictions_model_target_xerxes_60,0.020640764473296644,0.021037755221907962,0.9811296051112,0.03741654750314016
